date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,SHY,LQD,HYG,GLD,SLV,VNQ,DBC,USO,XLK,XLF,XLV,XLE,XLY
2018-01-16,243.7795867919922,155.46365356445312,140.90582275390625,57.64439392089844,41.07429122924805,98.73855590820312,85.90763854980469,69.7682113647461,89.83573150634766,56.21448516845703,127.16999816894531,16.25,57.32510757446289,14.279438972473145,102.08000183105469,30.70811653137207,24.936342239379883,75.88938903808594,26.795381546020508,48.16429901123047
2018-01-17,246.103271484375,157.14134216308594,142.2415008544922,57.942684173583984,41.61561584472656,98.60437774658203,85.71878051757812,69.74317169189453,89.59056854248047,56.22090148925781,126.13999938964844,16.059999465942383,57.725425720214844,14.29634952545166,102.23999786376953,31.16954231262207,25.124540328979492,76.6200180053711,27.030241012573242,48.39524459838867
2018-01-18,245.689453125,157.1697540283203,141.2667999267578,57.872039794921875,41.665584564208984,97.68831634521484,85.44783020019531,69.72654724121094,89.24148559570312,56.16310119628906,125.86000061035156,15.970000267028809,56.9830207824707,14.29634952545166,102.08000183105469,31.224910736083984,25.090320587158203,76.63741302490234,26.809404373168945,48.353668212890625
2018-01-19,246.80731201171875,157.66265869140625,143.12583923339844,58.193885803222656,42.00703430175781,97.17501068115234,85.22610473632812,69.75154876708984,88.96665954589844,56.22090148925781,126.41999816894531,16.049999237060547,57.28872299194336,14.27098560333252,101.76000213623047,31.28489875793457,25.26997184753418,76.92445373535156,26.774351119995117,48.77397537231445
2018-01-22,248.81411743164062,159.34976196289062,143.8928985595703,58.49221420288086,42.24855422973633,97.26984405517578,85.19325256347656,69.71820068359375,88.88491821289062,56.27227783203125,126.6500015258789,16.040000915527344,57.81277084350586,14.304803848266602,102.23999786376953,31.589427947998047,25.47527313232422,77.42892456054688,27.352741241455078,49.314369201660156
2018-01-23,249.34217834472656,160.667236328125,144.35316467285156,58.68061447143555,42.448429107666016,97.68831634521484,85.43961334228516,69.75987243652344,89.27117156982422,56.439266204833984,127.27999877929688,16.079999923706055,58.6133918762207,14.406257629394531,103.76000213623047,31.72787857055664,25.500938415527344,77.054931640625,27.310678482055664,49.73006057739258
2018-01-24,249.24539184570312,159.62464904785156,143.4597625732422,58.782657623291016,42.80653762817383,97.1592788696289,85.27538299560547,69.74317169189453,89.21173858642578,56.35574722290039,128.8300018310547,16.559999465942383,58.30769729614258,14.55843448638916,105.76000213623047,31.483314514160156,25.672029495239258,77.28105926513672,27.237060546875,49.942508697509766
2018-01-25,249.35092163085938,159.5678253173828,143.51390075683594,58.55501174926758,42.78154754638672,97.95681762695312,85.4642562866211,69.72654724121094,89.6648941040039,56.317230224609375,127.97000122070312,16.309999465942383,58.205810546875,14.473892211914062,104.4800033569336,31.427940368652344,25.620697021484375,77.9421157836914,27.023225784301758,49.85476303100586
2018-01-26,252.23794555664062,162.01315307617188,144.0282440185547,59.07313537597656,43.37285232543945,97.59354400634766,85.2096939086914,69.68486785888672,89.54603576660156,56.36217498779297,128.07000732421875,16.40999984741211,58.002010345458984,14.583799362182617,105.91999816894531,31.926273345947266,25.808900833129883,79.62081146240234,27.170461654663086,50.3443489074707
2018-01-29,250.56561279296875,161.22653198242188,143.216064453125,58.53145980834961,42.71492385864258,96.91445922851562,84.9962387084961,69.65987396240234,89.308349609375,56.16310119628906,127.3499984741211,16.209999084472656,57.22322082519531,14.541526794433594,104.87999725341797,31.635576248168945,25.70625114440918,79.40332794189453,26.760316848754883,50.20579528808594
2018-01-30,247.99551391601562,159.8994903564453,141.84437561035156,58.04473114013672,42.131961822509766,96.34587860107422,84.79911804199219,69.6682357788086,89.00376892089844,55.97042465209961,126.80000305175781,16.149999618530273,56.8083381652832,14.44007396697998,103.19999694824219,31.349506378173828,25.372617721557617,77.73334503173828,26.22049903869629,49.95637130737305
2018-01-31,248.11878967285156,160.56301879882812,141.1044158935547,57.96623992919922,42.49839782714844,96.91445922851562,84.82374572753906,69.6682357788086,89.18941497802734,56.06674575805664,127.6500015258789,16.350000381469727,57.82731246948242,14.456982612609863,103.83999633789062,31.58482551574707,25.441057205200195,76.62872314453125,26.238019943237305,49.794715881347656
