instance,seed,n_assets,cardinality,risk_aversion,penalty_multiplier,penalty,selected_cardinality,cardinality_violation,feasible,base_objective,exact_constrained_objective,feasible_gap,qubo_energy
8,2034,10,3,0.5,0.0,0.0,9,6,False,-0.5496259030921046,-0.27996416246165395,,-0.5496259030921047
8,2034,10,3,0.5,0.001,0.0015380141045975972,9,6,False,-0.5496259030921046,-0.27996416246165395,,-0.49425739532659113
8,2034,10,3,0.5,0.01,0.015380141045975973,5,2,False,-0.4014053316786851,-0.27996416246165395,,-0.33988476749478114
8,2034,10,3,0.5,0.03,0.04614042313792792,4,1,False,-0.3525524828541369,-0.27996416246165395,,-0.306412059716209
8,2034,10,3,0.5,0.1,0.15380141045975973,3,0,True,-0.27996416246165395,-0.27996416246165395,0.0,-0.2799641624616537
8,2034,10,3,0.5,0.3,0.46140423137927916,3,0,True,-0.27996416246165395,-0.27996416246165395,0.0,-0.279964162461654
8,2034,10,3,0.5,1.0,1.5380141045975972,3,0,True,-0.27996416246165395,-0.27996416246165395,0.0,-0.2799641624616518
8,2034,10,3,0.5,3.0,4.614042313792792,3,0,True,-0.27996416246165395,-0.27996416246165395,0.0,-0.27996416246165623
9,2035,10,3,0.5,0.0,0.0,8,5,False,-0.5658542016470225,-0.2671927511569641,,-0.5658542016470225
9,2035,10,3,0.5,0.001,0.0016116566413233605,8,5,False,-0.5658542016470225,-0.2671927511569641,,-0.5255627856139384
9,2035,10,3,0.5,0.01,0.016116566413233606,5,2,False,-0.41937755820994427,-0.2671927511569641,,-0.3549112925570099
9,2035,10,3,0.5,0.03,0.04834969923970081,4,1,False,-0.34332189431236915,-0.2671927511569641,,-0.29497219507266836
9,2035,10,3,0.5,0.1,0.16116566413233605,3,0,True,-0.2671927511569641,-0.2671927511569641,0.0,-0.26719275115696406
9,2035,10,3,0.5,0.3,0.4834969923970081,3,0,True,-0.2671927511569641,-0.2671927511569641,0.0,-0.2671927511569643
9,2035,10,3,0.5,1.0,1.6116566413233604,3,0,True,-0.2671927511569641,-0.2671927511569641,0.0,-0.2671927511569594
9,2035,10,3,0.5,3.0,4.834969923970081,3,0,True,-0.2671927511569641,-0.2671927511569641,0.0,-0.26719275115696917
10,2036,10,3,0.5,0.0,0.0,9,6,False,-0.6854417700871748,-0.34059705446361466,,-0.6854417700871749
10,2036,10,3,0.5,0.001,0.00152933867258553,9,6,False,-0.6854417700871748,-0.34059705446361466,,-0.6303855778740958
10,2036,10,3,0.5,0.01,0.015293386725855299,5,2,False,-0.500241975449649,-0.34059705446361466,,-0.43906842854622785
10,2036,10,3,0.5,0.03,0.045880160177565896,4,1,False,-0.4225809708993767,-0.34059705446361466,,-0.37670081072181094
10,2036,10,3,0.5,0.1,0.15293386725855299,3,0,True,-0.34059705446361466,-0.34059705446361466,0.0,-0.34059705446361466
10,2036,10,3,0.5,0.3,0.45880160177565893,3,0,True,-0.34059705446361466,-0.34059705446361466,0.0,-0.3405970544636152
10,2036,10,3,0.5,1.0,1.5293386725855298,3,0,True,-0.34059705446361466,-0.34059705446361466,0.0,-0.3405970544636139
10,2036,10,3,0.5,3.0,4.58801601775659,3,0,True,-0.34059705446361466,-0.34059705446361466,0.0,-0.3405970544636254
11,2037,10,3,0.5,0.0,0.0,8,5,False,-0.43083622297450247,-0.2273141576388255,,-0.4308362229745024
11,2037,10,3,0.5,0.001,0.0012789820870357956,7,4,False,-0.4204986793024764,-0.2273141576388255,,-0.40003496590990373
11,2037,10,3,0.5,0.01,0.012789820870357956,5,2,False,-0.34570347920759126,-0.2273141576388255,,-0.2945441957261594
11,2037,10,3,0.5,0.03,0.038369462611073865,4,1,False,-0.2885883312005318,-0.2273141576388255,,-0.2502188685894579
11,2037,10,3,0.5,0.1,0.12789820870357957,3,0,True,-0.2273141576388255,-0.2273141576388255,0.0,-0.22731415763882562
11,2037,10,3,0.5,0.3,0.3836946261107386,3,0,True,-0.2273141576388255,-0.2273141576388255,0.0,-0.2273141576388249
11,2037,10,3,0.5,1.0,1.2789820870357955,3,0,True,-0.2273141576388255,-0.2273141576388255,0.0,-0.22731415763882445
11,2037,10,3,0.5,3.0,3.8369462611073866,3,0,True,-0.2273141576388255,-0.2273141576388255,0.0,-0.22731415763882623
12,2038,10,3,0.5,0.0,0.0,10,7,False,-0.7934804527158201,-0.39130239681434087,,-0.7934804527158202
12,2038,10,3,0.5,0.001,0.0016852077679745646,8,5,False,-0.781166701859188,-0.39130239681434087,,-0.739036507659824
12,2038,10,3,0.5,0.01,0.016852077679745645,5,2,False,-0.5993516160903714,-0.39130239681434087,,-0.5319433053713887
12,2038,10,3,0.5,0.03,0.05055623303923693,4,1,False,-0.5011742857628964,-0.39130239681434087,,-0.4506180527236594
12,2038,10,3,0.5,0.1,0.16852077679745647,3,0,True,-0.39130239681434087,-0.39130239681434087,0.0,-0.39130239681434076
12,2038,10,3,0.5,0.3,0.5055623303923693,3,0,True,-0.39130239681434087,-0.39130239681434087,0.0,-0.391302396814341
12,2038,10,3,0.5,1.0,1.6852077679745645,3,0,True,-0.39130239681434087,-0.39130239681434087,0.0,-0.3913023968143374
12,2038,10,3,0.5,3.0,5.055623303923694,3,0,True,-0.39130239681434087,-0.39130239681434087,0.0,-0.39130239681434986
13,2039,10,3,0.5,0.0,0.0,10,7,False,-0.651328014945508,-0.2842216825038012,,-0.6513280149455081
13,2039,10,3,0.5,0.001,0.00151900064537575,10,7,False,-0.651328014945508,-0.2842216825038012,,-0.5768969833220964
13,2039,10,3,0.5,0.01,0.0151900064537575,5,2,False,-0.4536221998692614,-0.2842216825038012,,-0.3928621740542314
13,2039,10,3,0.5,0.03,0.045570019361272494,4,1,False,-0.37791983301845344,-0.2842216825038012,,-0.3323498136571811
13,2039,10,3,0.5,0.1,0.15190006453757499,3,0,True,-0.2842216825038012,-0.2842216825038012,0.0,-0.2842216825038013
13,2039,10,3,0.5,0.3,0.45570019361272496,3,0,True,-0.2842216825038012,-0.2842216825038012,0.0,-0.28422168250380153
13,2039,10,3,0.5,1.0,1.5190006453757499,3,0,True,-0.2842216825038012,-0.2842216825038012,0.0,-0.28422168250380153
13,2039,10,3,0.5,3.0,4.55700193612725,3,0,True,-0.2842216825038012,-0.2842216825038012,0.0,-0.28422168250380153
14,2040,10,3,0.5,0.0,0.0,10,7,False,-0.8595149130738424,-0.3514928374195727,,-0.8595149130738426
14,2040,10,3,0.5,0.001,0.002048859445263813,10,7,False,-0.8595149130738424,-0.3514928374195727,,-0.7591208002559158
14,2040,10,3,0.5,0.01,0.020488594452638127,5,2,False,-0.5153772128732159,-0.3514928374195727,,-0.43342283506266355
14,2040,10,3,0.5,0.03,0.06146578335791438,4,1,False,-0.4313439446762694,-0.3514928374195727,,-0.3698781613183551
14,2040,10,3,0.5,0.1,0.2048859445263813,3,0,True,-0.3514928374195727,-0.3514928374195727,0.0,-0.35149283741957227
14,2040,10,3,0.5,0.3,0.6146578335791438,3,0,True,-0.3514928374195727,-0.3514928374195727,0.0,-0.3514928374195727
14,2040,10,3,0.5,1.0,2.0488594452638127,3,0,True,-0.3514928374195727,-0.3514928374195727,0.0,-0.35149283741957227
14,2040,10,3,0.5,3.0,6.146578335791438,3,0,True,-0.3514928374195727,-0.3514928374195727,0.0,-0.35149283741957404
15,2041,10,3,0.5,0.0,0.0,8,5,False,-0.29956760057835574,-0.1576163603581727,,-0.29956760057835563
15,2041,10,3,0.5,0.001,0.001421040213252669,7,4,False,-0.2913961872493032,-0.1576163603581727,,-0.2686595438372605
15,2041,10,3,0.5,0.01,0.01421040213252669,5,2,False,-0.24621784649058248,-0.1576163603581727,,-0.18937623796047576
15,2041,10,3,0.5,0.03,0.042631206397580064,4,1,False,-0.20046464410911413,-0.1576163603581727,,-0.15783343771153402
15,2041,10,3,0.5,0.1,0.1421040213252669,3,0,True,-0.1576163603581727,-0.1576163603581727,0.0,-0.15761636035817284
15,2041,10,3,0.5,0.3,0.4263120639758007,3,0,True,-0.1576163603581727,-0.1576163603581727,0.0,-0.1576163603581735
15,2041,10,3,0.5,1.0,1.421040213252669,3,0,True,-0.1576163603581727,-0.1576163603581727,0.0,-0.1576163603581726
15,2041,10,3,0.5,3.0,4.263120639758007,3,0,True,-0.1576163603581727,-0.1576163603581727,0.0,-0.15761636035817972
16,2042,10,3,0.5,0.0,0.0,9,6,False,-0.39407552004038204,-0.20295726995347368,,-0.39407552004038215
16,2042,10,3,0.5,0.001,0.001280500075513248,7,4,False,-0.37763388629453065,-0.20295726995347368,,-0.3571458850863185
16,2042,10,3,0.5,0.01,0.01280500075513248,5,2,False,-0.30797293222723154,-0.20295726995347368,,-0.25675292920670156
16,2042,10,3,0.5,0.03,0.03841500226539744,4,1,False,-0.25832084499290003,-0.20295726995347368,,-0.2199058427275025
16,2042,10,3,0.5,0.1,0.12805000755132478,3,0,True,-0.20295726995347368,-0.20295726995347368,0.0,-0.20295726995347352
16,2042,10,3,0.5,0.3,0.38415002265397435,3,0,True,-0.20295726995347368,-0.20295726995347368,0.0,-0.20295726995347385
16,2042,10,3,0.5,1.0,1.2805000755132478,3,0,True,-0.20295726995347368,-0.20295726995347368,0.0,-0.2029572699534734
16,2042,10,3,0.5,3.0,3.8415002265397433,3,0,True,-0.20295726995347368,-0.20295726995347368,0.0,-0.20295726995347252
17,2043,10,3,0.5,0.0,0.0,9,6,False,-0.582552287608589,-0.29341244586579185,,-0.5825522876085889
17,2043,10,3,0.5,0.001,0.0012304733905860532,9,6,False,-0.582552287608589,-0.29341244586579185,,-0.5382552455474909
17,2043,10,3,0.5,0.01,0.012304733905860532,5,2,False,-0.4455152061499732,-0.29341244586579185,,-0.39629627052653105
17,2043,10,3,0.5,0.03,0.03691420171758159,4,1,False,-0.3793570998888487,-0.29341244586579185,,-0.3424428981712671
17,2043,10,3,0.5,0.1,0.12304733905860532,3,0,True,-0.29341244586579185,-0.29341244586579185,0.0,-0.29341244586579185
17,2043,10,3,0.5,0.3,0.36914201717581596,3,0,True,-0.29341244586579185,-0.29341244586579185,0.0,-0.29341244586579185
17,2043,10,3,0.5,1.0,1.2304733905860532,3,0,True,-0.29341244586579185,-0.29341244586579185,0.0,-0.2934124458657923
