n_assets,cardinality,seed,solver,runtime_seconds,selected_cardinality,feasible,base_objective,gap_vs_exact
14,5,2026,neal_qubo,0.0038822080241516232,5,True,-0.3759229828722653,0.027611740558905973
14,5,2026,exact_qubo,0.6945813749916852,5,True,-0.40353472343117125,0.0
14,5,2027,exact_constrained,0.047576915996614844,5,True,-0.403287957512187,0.0
14,5,2027,top_k_mu,4.037498729303479e-05,5,True,-0.3825142841568077,0.020773673355379274
14,5,2027,greedy,0.0013962080120109022,5,True,-0.403287957512187,0.0
14,5,2027,local_search,0.002439709031023085,5,True,-0.403287957512187,0.0
14,5,2027,annealing_qubo,0.7072636249940842,5,True,-0.3635160365753862,0.039771920936800764
14,5,2027,neal_qubo,0.0033239999902434647,5,True,-0.32598613767497076,0.07730181983721623
14,5,2027,exact_qubo,0.6869055000133812,5,True,-0.403287957512187,0.0
14,5,2028,exact_constrained,0.04693041701102629,5,True,-0.44152796803938077,0.0
14,5,2028,top_k_mu,3.954197745770216e-05,5,True,-0.420546495999717,0.020981472039663773
14,5,2028,greedy,0.0013783330214209855,5,True,-0.44152796803938077,0.0
14,5,2028,local_search,0.0024275000323541462,5,True,-0.44152796803938077,0.0
14,5,2028,annealing_qubo,0.7023554579936899,5,True,-0.3879456303034637,0.053582337735917085
14,5,2028,neal_qubo,0.0034044160274788737,5,True,-0.40322289598264266,0.03830507205673811
14,5,2028,exact_qubo,0.6923471249756403,5,True,-0.44152796803938077,0.0
16,5,2026,exact_constrained,0.10333112499210984,5,True,-0.5258293192546274,0.0
16,5,2026,top_k_mu,3.7167046684771776e-05,5,True,-0.5258293192546274,0.0
16,5,2026,greedy,0.0016333750099875033,5,True,-0.5258293192546274,0.0
16,5,2026,local_search,0.002887749986257404,5,True,-0.5258293192546274,0.0
16,5,2026,annealing_qubo,0.8689740829868242,5,True,-0.44903968864250354,0.07678963061212385
16,5,2026,neal_qubo,0.0038597089587710798,5,True,-0.4068596551877931,0.11896966406683429
16,5,2026,exact_qubo,3.4737174580222927,5,True,-0.5258293192546274,0.0
16,5,2027,exact_constrained,0.1011608749977313,5,True,-0.46563514983155235,0.0
16,5,2027,top_k_mu,4.0917017031461e-05,5,True,-0.4397841392098409,0.025851010621711468
16,5,2027,greedy,0.0015932500245980918,5,True,-0.46563514983155235,0.0
16,5,2027,local_search,0.002826999989338219,5,True,-0.46563514983155235,0.0
16,5,2027,annealing_qubo,0.8755349579732865,5,True,-0.3690860763253916,0.09654907350616077
16,5,2027,neal_qubo,0.0036954579991288483,5,True,-0.3545939039252004,0.11104124590635195
16,5,2027,exact_qubo,3.4806519590201788,5,True,-0.46563514983155235,0.0
16,5,2028,exact_constrained,0.10279504198115319,5,True,-0.542982829363889,0.0
16,5,2028,top_k_mu,4.058296326547861e-05,5,True,-0.542982829363889,0.0
16,5,2028,greedy,0.0016018750029616058,5,True,-0.542982829363889,0.0
16,5,2028,local_search,0.002847417024895549,5,True,-0.542982829363889,0.0
16,5,2028,annealing_qubo,0.8560563339851797,5,True,-0.4688516474669131,0.07413118189697587
16,5,2028,neal_qubo,0.0033664590446278453,5,True,-0.43659698899781935,0.10638584036606963
16,5,2028,exact_qubo,3.4785483749583364,5,True,-0.542982829363889,0.0
18,5,2026,exact_constrained,0.20755924994591624,5,True,-0.5365393172417503,0.0
