,exact,top_k_mu,local_search
2023-06-12,-0.0018109751449155722,0.006597196013401097,-0.0018109751449155722
2023-06-13,0.00023947143802647295,0.008739953675513768,0.00023947143802647295
2023-06-14,0.0012872598749624985,-0.0021475110297530576,0.0012872598749624985
2023-06-15,0.008904165483909265,0.009647102313297396,0.008904165483909265
2023-06-16,0.0005100685762334137,-0.0038906327560493947,0.0005100685762334137
2023-06-20,-0.0009263954305651413,-0.006778970779655414,-0.0009263954305651413
2023-06-21,0.0023781379592024312,-0.0037068901149537987,0.0023781379592024312
2023-06-22,-0.006709212519399133,-0.0004956044525342485,-0.006709212519399133
2023-06-23,-0.00095029360672898,-0.011856490101198849,-0.00095029360672898
2023-06-26,0.0012346574752531315,-0.0011972590961056404,0.0012346574752531315
2023-06-27,-0.003768652458824429,0.012827227670413555,-0.003768652458824429
2023-06-28,0.0024331399652951944,0.004329807464880009,0.0024331399652951944
2023-06-29,-0.004507216137952664,0.004144415393725654,-0.004507216137952664
2023-06-30,0.004633384697419451,0.010326673202438475,0.004633384697419451
2023-07-03,-0.0019736485170186225,-0.0008605761004929265,-0.0019736485170186225
2023-07-05,-0.0018245007571080056,-0.0017109163174176879,-0.0018245007571080056
2023-07-06,-0.0056726725284478976,-0.008765344889075079,-0.0056726725284478976
2023-07-07,0.0016376017200546713,0.003626590415531039,0.0016376017200546713
2023-07-10,0.003812504415872642,0.002318711718953237,0.003812504415872642
2023-07-11,0.004761300763523479,0.0017970986381041557,0.004761300763523479
2023-07-12,0.007322874326450935,0.016442063563977392,0.007322874326450935
2023-07-13,0.0076523723056141964,0.010163841538501472,0.0076523723056141964
2023-07-14,-0.005855687385461073,-0.002618250466597672,-0.005855687385461073
2023-07-17,-0.000494323505059513,3.4822918300259184e-05,-0.000494323505059513
2023-07-18,0.003931455992843125,0.005181796874318279,0.003931455992843125
2023-07-19,0.0031399425242874647,0.004004780754986381,0.0031399425242874647
2023-07-20,-0.0034653655607887355,-0.008909160024474571,-0.0034653655607887355
2023-07-21,0.0021338259723942877,-0.0013332493223003894,0.0021338259723942877
2023-07-24,0.0022605468486385006,-0.004434002077293098,0.0022605468486385006
2023-07-25,-0.00011284196742844543,0.0029373678483628485,-0.00011284196742844543
2023-07-26,0.0016362669177996782,0.004622297081623117,0.0016362669177996782
2023-07-27,-0.006995421919459366,-0.01649201404114111,-0.006995421919459366
2023-07-28,0.004608842235728883,0.005445255433551921,0.004608842235728883
2023-07-31,0.0021497046951256316,0.004635514520985762,0.0021497046951256316
2023-08-01,-0.010947619577384705,-0.009831744531476505,-0.010947619577384705
2023-08-02,-0.015687491322309288,-0.019887281928675376,-0.015687491322309288
2023-08-03,-0.001285026962971769,0.006831827423472637,-0.001285026962971769
